TEAM,MATCH_UP,GAME_DATE,W_L,MIN,PTS,FGM,FGA,FGp,PM_3,PA_3,Pp_3,FTM,FTA,FTp,OREB,DREB,REB,AST,TOV,STL,BLK,PF,plus_minus
SEA,SEA vs. LVA,8/7/22,L,40,81,29,66,43.9,8,23,34.8,15,20,75,12,27,39,21,14,4,5,13,-8
LAS,LAS @ WAS,8/7/22,W,40,79,26,63,41.3,5,13,38.5,22,26,84.6,6,23,29,18,9,4,4,20,3
PHO,PHO vs. NYL,8/6/22,W,40,76,27,72,37.5,8,27,29.6,14,16,87.5,9,31,40,15,15,4,3,18,14
NYL,NYL @ PHO,8/6/22,L,40,62,21,68,30.9,7,32,21.9,13,16,81.3,7,28,35,18,12,8,3,23,-14
IND,IND @ DAL,8/6/22,L,45,91,31,70,44.3,6,18,33.3,23,29,79.3,10,20,30,18,24,9,4,31,-4
DAL,DAL vs. IND,8/6/22,W,45,95,27,65,41.5,7,20,35,34,45,75.6,10,24,34,17,15,10,3,21,4
ATL,ATL vs. LAS,8/5/22,W,40,88,29,62,46.8,6,16,37.5,24,26,92.3,8,24,32,13,16,4,3,20,2
WAS,WAS @ CHI,8/5/22,L,40,83,31,66,47,8,24,33.3,13,19,68.4,8,24,32,21,12,4,2,11,-10
CHI,CHI vs. WAS,8/5/22,W,40,93,36,73,49.3,9,22,40.9,12,13,92.3,7,27,34,27,8,10,6,20,10
LAS,LAS @ ATL,8/5/22,L,40,86,35,73,47.9,3,17,17.6,13,15,86.7,9,22,31,22,11,8,6,17,-2
LVA,LVA @ DAL,8/4/22,L,40,80,31,69,44.9,10,33,30.3,8,8,100,8,24,32,20,9,7,8,13,-2
DAL,DAL vs. LVA,8/4/22,W,40,82,33,70,47.1,6,18,33.3,10,14,71.4,14,23,37,22,8,6,4,12,2
PHO,PHO @ CON,8/4/22,L,40,64,23,69,33.3,9,26,34.6,9,12,75,13,16,29,18,14,7,7,17,-13
CON,CON vs. PHO,8/4/22,W,40,77,26,72,36.1,6,19,31.6,19,25,76,21,33,54,14,21,10,2,17,13
ATL,ATL vs. IND,8/3/22,W,40,91,35,70,50,8,24,33.3,13,17,76.5,8,27,35,27,17,11,7,21,10
NYL,NYL vs. LAS,8/3/22,W,40,64,23,73,31.5,7,28,25,11,14,78.6,10,29,39,17,13,8,3,14,3
SEA,SEA vs. MIN,8/3/22,W,40,89,35,70,50,11,25,44,8,11,72.7,3,30,33,28,11,9,3,13,12
IND,IND @ ATL,8/3/22,L,40,81,28,72,38.9,5,17,29.4,20,27,74.1,13,23,36,15,18,11,3,20,-10
LAS,LAS @ NYL,8/3/22,L,40,61,24,60,40,4,17,23.5,9,9,100,4,30,34,17,16,4,6,19,-3
MIN,MIN @ SEA,8/3/22,L,40,77,32,69,46.4,6,22,27.3,7,9,77.8,5,28,33,25,15,6,3,10,-12
LAS,LAS @ NYL,8/2/22,L,40,73,31,75,41.3,2,16,12.5,9,12,75,9,17,26,17,14,13,1,18,-29
NYL,NYL vs. LAS,8/2/22,W,40,102,37,64,57.8,11,26,42.3,17,19,89.5,10,29,39,25,20,10,2,13,29
